unique_id,fieldguide,english_common,latin_species,length,order,family,family_english,voice,warblish,usable,voice_reduced,non_vocalization,distance_amplitude,namesake,qualifies_as_song,mimicry,comparison,comparison_type,comparison_expression,comparand,comp_construction,comp_dimension,duplicated_comparison,comments
id_4261,national_geographic_america,Eastern Towhee,Pipilo erythrophthalmus,19cm,Passeriformes,Passerellidae,New World Sparrows,"Full song has three parts, often rendered as *drink your tea*, or shortened to two parts: *drink tea*; Northeastern birds' call is an upslurred ""chwee"" or ""joree""; in alleni, a clearer, even-pitched or upslurred ""swee"".",NEW,yes,"Full song has three parts, as *drink your tea*, or shortened to two parts: *drink tea*; an upslurred ""chwee"" or ""joree""; a clearer, even-pitched or upslurred ""swee""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6766,tarboton_kruger_national_park,Crested Francolin,Ortygornis sephaena,33cm,NA,NA,NA,"Its call, typically a well-synchronised duet by the male and female (*tina-turner, tina-turner...*), is one of the characteristic sounds of the park.",YES,yes,"a well-synchronised duet (*tina-turner, tina-turner...*) is characteristic",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6554,simpson_day_australian,Atherton Scrubwren,Sericornis keri,13.5,Passeriformes,Acanthizidae,Australasian Warblers,Scolding call.,NO,yes,Scolding call,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3954,national_geographic_america,Red-masked Parakeet,Psittacara erythrogenys,33cm,Psittaciformes,Psittacidae,African & New World Parrots,"Calls similar to those of Mitred, but less harsh.",NO,yes,less harsh,NA,NA,NA,NA,NA,qualified_comparison_only,to_similar_species,"Calls similar to those of Mitred, but less harsh.",Mitred Parakeet,N similar to that of C but X-er,less_harsh,NA,NA
id_1903,collins_gem_garden_birds,Common Gull,Larus canus,NA,Charadriiformes,Laridae,"Gulls, Terns, Skimmers",A mewing call that gives it the alternative name 'Mew Gull'.,NO,yes,mewing call,NA,NA,yes,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_899,bruun_hamlyn_guide,Alpine Chough,Pyrrhocorax graculus,38,Passeriformes,Corvidae,"Crows, Jays","Calls include loud, weird trills.",NO,yes,"loud, weird trills",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4697,peterson_chalif_mexico,Dusky Antbird,Cercomacroides tyrannina,5.25-6in,NA,NA,NA,"Song, 5-8 piping whistles rising irregularly in pitch, ""pu, pu, pipipee""; and ""pu, peh, pi'pipipeepee"" (Eisenmann).",NO,yes,"Song, 5-8 piping whistles rising irregularly in pitch, ""pu, pu, pipipee""; and ""pu, peh, pi'pipipeepee""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5403,sibley_birds,Wood Stork,Mycteria americana,40,Ciconiiformes,Ciconiidae,Storks,"Usually silent after 1st year except for hissing; and bill-clattering in nest displays; Young bird occasionally gives nasal, barking ""nyah nyah nyah"".",NO,yes,"hissing; nasal, barking ""nyah nyah nyah""",bill-clattering,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_932,bruun_hamlyn_guide,Menetrie's Warbler,Curruca mystacea,13,NA,NA,NA,"Call is sharp repeated ""tart""; Song resembles that of Whitethroat but is more musical and variable.",NO,yes,"sharp repeated ""tart""; more musical and variable",NA,NA,NA,NA,NA,comparison,to_similar_species,Song resembles that of Whitethroat but is more musical and variable.,Whitethroat,N resembles that of C but X-er,more_musical&more_varied,NA,NA
id_997,bruun_hamlyn_guide,Long-tailed tit,Aegithalos caudatus,14,Passeriformes,Aegithalidae,Bushtits,"Call is a repeated trilling ""tsimp""; and thin ""see-see-see"". Song, rarely heard, is a mixture of these notes.",NO,yes,"a repeated trilling ""tsimp""; and thin ""see-see-see"".",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2015,felix_hisek_birds,Ringed Plover,Charadrius hiaticula,19,Charadriiformes,Charadriidae,Plovers,"A mellow call that sounds like ""too-li""; when courting, a repeated ""quitu-weeoo"".",NO,yes,"mellow call that sounds like ""too-li""; when , a repeated ""quitu-weeoo""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4717,peterson_chalif_mexico,Vermilion Flycatcher,Pyrocephalus rubinus,5-6in,Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura","A slightly phoebelike ""p-p-pit-zee""; or ""pit-a-zee"", elaborated during male's butterfly like hovering display flight.",NO,yes,"""p-p-pit-zee""; or ""pit-a-zee""",NA,NA,NA,NA,NA,comparison,to_other_bird_category,phoebelike,phoebe,Clike O,none,NA,NA
id_5637,sibley_birds,Greater Roadrunner,Geococcyx californianus,23,NA,NA,NA,"Song a slow, descending series of about six resonant, low-pitched coos: ""cooo cooo cooo cooo coo coo"", weaker at end; Also a low, hollow, wooden clatter or rattle ""trrrt"" produced by bill.",NO,yes,"a slow, descending series of about six resonant, low-pitched coos: ""cooo cooo cooo cooo coo coo"", weaker at end","low, hollow, wooden clatter or rattle ""trrrt"" produced by bill",NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4002,national_geographic_america,Great Kiskadee,Pitangus sulphuratus,25cm,Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura","Song is a deliberate ""kis-ka-dee""; call is a loud ""kreak"".",NO,yes,"a deliberate ""kis-ka-dee"";  a loud ""kreak""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_860,bruun_hamlyn_guide,Crested Lark,Galerida cristata,17,Passeriformes,Alaudidae,Larks,"Call is a characteristic ""dee-dee-doo"". Song resembles that of Skylark but is shorter and less melodious. Usually delivered from the ground or from low perch on rock.",NO,yes,"a characteristic ""dee-dee-doo""; is shorter and less melodious",NA,NA,NA,NA,NA,comparison,to_similar_species,Song resembles that of Skylark but is shorter and less melodious.,Skylark,N resembles that of C but X-er,shorter&less_melodious,NA,NA
id_3944,national_geographic_america,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,41cm,Psittaciformes,Psittacidae,African & New World Parrots,"Loud, laughing calls carry far.",NO,yes,"Loud, laughing calls",NA,carry far,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_259,allabout_birds,Great Horned Owl,Bubo virginianus,54.5,Strigiformes,Strigidae,Owls,"Young owls give piercing screams when begging for food, while adults may scream to defend the nest; Adults make an array of other sounds, including whistles; barks; shrieks; hisses; coos; and wavering cries; Great Horned Owls advertise their territories with deep, soft hoots with a stuttering rhythm: ""hoo-h'HOO-hoo-hoo""; The male and female of a breeding pair may perform a duet of alternating calls, with the female's voice recognizably higher in pitch than the male's.",NO,yes,"piercing screams; whistles; barks; shrieks; hisses; coos; and wavering cries; deep, soft hoots with a stuttering rhythm: ""hoo-h'HOO-hoo-hoo"";  a duet of alternating calls",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5434,sibley_birds,Mississippi Kite,Ictinia mississippiensis,14,Accipitriformes,Accipitridae,"Kites, Hawks, Eagles","A high, thin whistle ""pe-teew""; or ""pee-teeeer"", similar to Broad-winged Hawk but descending; sometimes a more excited ""pee-tititi"". Juvenile call similar to adult.",NO,yes,"high, thin whistle ""pe-teew""; or ""pee-teeeer"" descending;  a more excited ""pee-tititi"".",NA,NA,NA,NA,NA,comparison,to_similar_species,similar to Broad-winged Hawk but descending,Broad-winged Hawk,"O, similar to C but S",none,NA,NA
id_481,allabout_birds,Rufous Hummingbird,Selasphorus rufus,8,Apodiformes,Trochilidae,Hummingbirds,"Male and female Rufous Hummingbirds make a fast series of warning chip notes at intruding birds; Males performing a dive display for a female make a ""chu-chu-chu-chu"" sound at the bottom of their dive.",NO,yes,"a fast series of chip notes ; a ""chu-chu-chu-chu"" sound ",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5418,sibley_birds,Black-crowned Night-Heron,Nycticorax nycticorax,25,Pelecaniformes,Ardeidae,"Herons, Bitterns","Common call in flight a flat, barking ""quok""; or ""quark"". Other calls of similar quality given in nesting colony.",NO,yes,"a flat, barking ""quok""; or ""quark""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2072,felix_hisek_birds,Short-eared Owl,Asio flammeus,37,Strigiformes,Strigidae,Owls,"A deep ""boo-boo""; or ""kee-aw"".",NO,yes,"deep ""boo-boo""; or ""kee-aw""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_299,allabout_birds,Hutton's Vireo,Vireo huttoni,11,Passeriformes,Vireonidae,"Vireos, Greenlets, Shrike-babblers","The most often heard calls are a nasal ""chu""; and a flat ""chit""; Song is a rising ""zu-wee""; or a descending ""zo-zoo"", repeated over and over again at about one per second for as long as 10 minutes.",NO,yes,"a nasal ""chu""; and a flat ""chit""; a rising ""zu-wee""; or a descending ""zo-zoo"", repeated over and over again at about one per second for as long as 10 minutes",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3983,national_geographic_america,Brown-crested Flycatcher,Myiarchus tyrannulus,22cm,Passeriformes,Tyrannidae,"Tyrant Flycatchers, Calyptura","Song, a clear musical whistle, a rolling *whit-will-do*; Call, sharp ""whit"".",YES,yes,"Song, a clear musical whistle, a rolling *whit-will-do*; sharp ""whit""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2454,mackinnon_china,Great Egret,Ardea alba,90,Pelecaniformes,Ardeidae,"Herons, Bitterns","Call is deep rolling ""krr-rr-rra"".",NO,yes,"deep rolling ""krr-rr-rra""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6458,simpson_day_australian,Rose Robin,Petroica rosea,11,Passeriformes,Petroicidae,Australasian Robins,"Male has characteristic calls, both sexes ""tick"".",NO,yes,"""tick""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3720,national_geographic_america,Black-headed Gull,Chroicocephalus ridibundus,"41cm (ength), 102cm (wingspan)",Charadriiformes,Laridae,"Gulls, Terns, Skimmers","Calls are ternlike, a grating or screechy ""ree-ah"".",NO,yes,"a grating or screechy ""ree-ah""",NA,NA,NA,NA,NA,comparison,to_superordinate,ternlike,tern,N is Clike,none,NA,NA
id_5412,sibley_birds,Little Blue Heron,Egretta caerulea,24,Pelecaniformes,Ardeidae,"Herons, Bitterns","Various hoarse squawks, fairly high ""raaaaa raaa"", sometimes with trumpeting or squealing quality.",NO,yes,"hoarse squawks, fairly high ""raaaaa raaa"",  with trumpeting or squealing quality",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_836,bruun_hamlyn_guide,Pallid Swift,Apus pallidus,15,Apodiformes,Apodidae,Swifts,Call is like that of Swift.,NO,comparison_only,NA,NA,NA,NA,NA,NA,comparison_only,to_similar_species,Call is like that of Swift.,Common Swift,N like that of C,none,NA,NA
id_982,bruun_hamlyn_guide,American Robin,Turdus migratorius,25,Passeriformes,Turdidae,Thrushes,Behaviour and voice resemble those of Blackbird.,NO,comparison_only,NA,NA,NA,NA,NA,NA,comparison_only,to_similar_species,Behaviour and voice resemble those of Blackbird.,Blackbird,N resemble that of C,none,NA,NA
id_6290,simpson_day_australian,Dunlin,Calidris alpina,20,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","nasal ""tree"".",NO,yes,"nasal ""tree""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5468,sibley_birds,Black Rail,Laterallus jamaicensis,6,Gruiformes,Rallidae,"Rails, Crakes & Coots","Territorial call of male (given mainly at night) a rich, nasal ""keekeedrrr""; or ""deedeedunk"", typically two high notes followed immediately by one lower solid note, but number of notes variable; when agitated a growling ""krr-krr-krr""; Female (rarely) gives a quick, low, cooing ""croocroocroo"" of two or three notes similar to Least Bittern; Adult also gives soft, nasal barking ""churt""; or scolding notes ""ink-ink-ink-ink"".",NO,yes,"a rich, nasal ""keekeedrrr""; or ""deedeedunk"", typically two high notes followed immediately by one lower solid note, but number of notes variable; a growling ""krr-krr-krr""; a quick, low, cooing ""croocroocroo"" of two or three notes; soft, nasal barking ""churt""; or scolding notes ""ink-ink-ink-ink""",NA,NA,NA,NA,NA,comparison,to_other_species,"gives a quick, low, cooing ""croocroocroo"" of two or three notes similar to Least Bittern",Least Bittern,O similar to C,none,NA,NA
id_6341,simpson_day_australian,Red-cheeked Parrot,Geoffroyus geoffroyi,23,Psittaciformes,Psittaculidae,Old World Parrots,"Metallic ""honk honk"", repeated rapidly.",NO,yes,"Metallic ""honk honk"", repeated rapidly",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1540,collins_british_rare,Tawny Pipit,Anthus campestris,15.5-18cm,Passeriformes,Motacillidae,"Wagtails, Pipits","Calls include a shrill ""tsche-erp"" like that of Yellow Wagtail; and a ""tchirrp"" like that of House Sparrow (Passer domesticus).",NO,yes,"a shrill ""tsche-erp""; and a ""tchirrp""",NA,NA,NA,NA,NA,comparison,to_other_species;to_other_species,"""tsche-erp"" like that of Yellow Wagtail;""tchirrp"" like that of House Sparrow (Passer domesticus)",Yellow Wagtail;House Sparrow,O like that of C;O like that of C,none;none,NA,NA
id_2274,holden_cleeves_birds,Golden Plover,Pluvialis apricaria,26-29cm,Charadriiformes,Charadriidae,Plovers,"Most usual call is lonely-sounding ""u-we""; Songflight has a longer, far-carrying ""per-we-oo-, per-weeoo"".",NO,yes,"lonely-sounding ""u-we""; a longer, far-carrying ""per-we-oo-, per-weeoo""",NA,far-carrying,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2552,mackinnon_china,Spot-breasted Scimitar Babbler,Erythrogenys mcclellandi,27,NA,NA,NA,"(...) has a loud, three-noted call with the last note being the highest.",NO,yes,"has a loud, three-noted call with the last note being the highest",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3427,morcombe_australia,Common Blackbird,Turdus merula,25-26cm,Passeriformes,Turdidae,Thrushes,"in contact, a high, fine ""tseee""; and harsh, almost screeching chatter of alarm when in flight; The song is a pleasant, mellow fluting sound with higher trills.",NO,yes,"a high, fine ""tseee""; and harsh, almost screeching chatter; a pleasant, mellow fluting sound with higher trills",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_3032,morcombe_australia,Swift Parrot,Lathamus discolor,23-26cm,Psittaciformes,Psittaculidae,Old World Parrots,"different from lorikeets, lacks their screeching, scratchy, harsh sounds, rather has pleasant, musical, high notes, sharp but clear; In flight, contact call is ""chi-wit, chiwit, chiwit""; Also has a great variety of musical chattering and trills, intermixed deep mellow sounds and clear, sharp notes.",NO,yes,"pleasant, musical, high notes, sharp but clear; ""chi-wit, chiwit, chiwit""; musical chattering and trills; intermixed deep mellow sounds; and clear, sharp notes",NA,NA,NA,NA,NA,comparison,to_other_bird_category,"different from lorikeets, lacks their screeching, scratchy, harsh sounds",lorikeets,"different from C, lacks their N",none,NA,NA
id_727,bruun_hamlyn_guide,Jack Snipe,Lymnocryptes minimus,20,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","During spectacular display flight, a call resembling the sound of a galloping horse is produced.",NO,comparison,NA,NA,NA,NA,NA,NA,comparison,to_other_animal,a call resembling the sound of a galloping horse is produced.,the sound of a galloping horse,N resembling C,none,NA,"a bit of a questionable case of comparison_only - all others are direct comparisons to another bird, this one is different because it is actually a comparison; so I left it as comparison but NA in the end"
id_945,bruun_hamlyn_guide,Yellow-browed Warbler,Phylloscopus inornatus,10,Passeriformes,Phylloscopidae,Leaf Warblers & Allies,"Call resembles that of Willow Warbler but is more high-pitched and sharp, sometimes consisting of two syllables: ""weeesp"".",NO,yes,"is more high-pitched and sharp,  consisting of two syllables: ""weeesp""",NA,NA,NA,NA,NA,comparison,to_similar_species,"Call resembles that of Willow Warbler but is more high-pitched and sharp,",Willow Warbler,N resembles that of C but X-er,higher&sharper,NA,NA
id_3317,morcombe_australia,Spangled Drongo,Dicrurus bracteatus,28-32cm,Passeriformes,Dicruridae,Drongos,"noisy, harsh, tearing, sounds. Includes loud, rasping, brassy, nasal ""k-zark, kzairk-kzairk-""; metallic ""wheit-""; ""kaik-kiarirk""; high ""kierk"" whistles; rackety chatterings.",NO,yes,"noisy, harsh, tearing, sounds; loud, rasping, brassy, nasal ""k-zark, kzairk-kzairk-""; metallic ""wheit-""; ""kaik-kiarirk""; high ""kierk"" whistles; rackety chatterings",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_626,bruun_hamlyn_guide,Slavonian Grebe,Podiceps auritus,36,Podicipediformes,Podicipedidae,Grebes,Rippling trill in breeding season.,NO,yes,Rippling trill,NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4358,national_trust_bird_spotter,White Stork,Ciconia ciconia,102,Ciconiiformes,Ciconiidae,Storks,"Silent, but clap their bill when greeting.",NO,non_vocal_only,NA,clap their bill when greeting,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_6534,simpson_day_australian,Blue-breasted Fairy-wren,Malurus pulcherrimus,15,Passeriformes,Maluridae,Australasian Wrens,like Variegated Fairy-wren.,NO,comparison_only,NA,NA,NA,NA,NA,NA,comparison_only,to_similar_species,like Variegated Fairy-wren.,Variegated Fairy-wren,like C,none,NA,NA
id_4226,national_geographic_america,Yellow Warbler,Setophaga petechia,13cm,Passeriformes,Parulidae,New World Warblers,"Song, rapid, variable, is sometimes written *sweet sweet sweet I'm so sweet*; Call is a sweet, rich ""chip"", often repeated in a rapid series when agitated; The flight call is a breezy ""zeet"".",YES,yes,"Song, rapid, variable, *sweet sweet sweet I'm so sweet*;  a sweet, rich ""chip"", often repeated in a rapid series; a breezy ""zeet""",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_1396,collins_british_rare,Long-Billed Dowitcher,Limnodromus scolopaceus,27-30cm,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","Utters a shrill ""kyeep"" call.",NO,yes,"a shrill ""kyeep"" call",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_5123,rspb_pocket_birds_harrap,Green Sandpiper,Tringa ochropus,23,Charadriiformes,Scolopacidae,"Sandpipers, Snipes","In flight Green Sandpipers gives a shrill, loud, ringing, ""kluw-ee, kluw-ee-eet..."", (...)",NO,yes,"a shrill, loud, ringing, ""kluw-ee, kluw-ee-eet..."",",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_4470,national_trust_bird_spotter,Wood Warbler,Phylloscopus sibilatrix,13,Passeriformes,Phylloscopidae,Leaf Warblers & Allies,"Loud ""sweet"" calls; low ""sioo sioo sioo""; or fast ""ti-ti-ti-ti-ikirrrrr"" song",NO,yes,"Loud ""sweet"" calls; low ""sioo sioo sioo""; or fast ""ti-ti-ti-ti-ikirrrrr"" song",NA,NA,NA,NA,NA,no_comparison,NA,NA,NA,NA,NA,NA,NA
id_2818,morcombe_australia,Tasmanian Nativehen,Tribonyx mortierii,42-50cm,NA,NA,NA,"drum-like grunts, probably contact calls, higher pitched in aggression or alarm; Males and female combine in see-sawing, harsh, rasping sounds, rising to crescendo in pitch and loudness.",NO,yes," grunts, higher pitched; in see-sawing, harsh, rasping sounds, rising to crescendo in pitch and loudness",NA,NA,NA,NA,NA,comparison,to_inanimate,drum-like grunts,drum,drum-like O,none,NA,NA
id_1015,bruun_hamlyn_guide,Citril Finch,Carduelis citrinella,11,NA,NA,NA,"Call is a plaintive but characteristic ""sit""; Song, often given in song-flight, resembles that of Serin.",NO,yes,"a plaintive but characteristic ""sit""",NA,NA,NA,NA,NA,comparison,to_similar_species,Song resembles that of Serin.,Serin,N resembles that of C,none,NA,NA
id_5990,sibley_birds,Blackburnian Warbler,Setophaga fusca,5,Passeriformes,Parulidae,New World Warblers,"Song has sharp, dry quality and usually includes some incredibly high notes ""tsi tsi tsi tsi tsi ti ti ti ti ti seeeeee"" ending extremely high and thin; Alternate song very high, slow, rising series with rattling quality ""tseekut tseekut tseekut tsee"", compare Golden-crowned Kinglet; Call a sharp ""tsick""; Flight call a high, thin buzz.",NO,yes,"has sharp, dry quality and  includes some high notes ""tsi tsi tsi tsi tsi ti ti ti ti ti seeeeee"" ending extremely high and thin; song very high, slow, rising series with rattling quality ""tseekut tseekut tseekut tsee""; a sharp ""tsick""; a high, thin buzz",NA,NA,NA,NA,NA,comparison,to_other_species,"with rattling quality ""tseekut tseekut tseekut tsee"", compare Golden-crowned Kinglet",Golden-crowned Kinglet,"O, compare C",none,NA,NA
id_6842,tarboton_kruger_national_park,Scaly-throated Honeyguide,Indicator variegatus,20cm,Piciformes,Indicatoridae,Honeyguides,"(...) male's distinctive breeding call, which is a protracted, slurred, insect-like trill that rises in pitch.",NO,yes,"distinctive call, which is a protracted, slurred, trill that rises in pitch",NA,NA,NA,NA,NA,comparison,to_other_animal,insect-like,insect,C-like N,none,NA,NA
